"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"Bon Secours Saint Francis ","SC","Healthcare Provider",1997,2015-10-26,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Florida Department of Health, Children's Medical Services","FL","Healthcare Provider",500,2015-10-23,"Unauthorized Access/Disclosure","Paper/Films"
"Indian Territory Home Health and Hospice","OK","Healthcare Provider",4500,2015-10-22,"Hacking/IT Incident","Email"
"Huntington Medical Research Institutes","CA","Healthcare Provider",4300,2015-10-20,"Unauthorized Access/Disclosure","Laptop, Other Portable Electronic Device"
"OsteoMed LP","TX","Health Plan",1134,2015-10-20,"Theft","Other"
"North Carolina Department of Health and Human Services","NC","Health Plan",1615,2015-10-19,"Hacking/IT Incident","Email"
"BeHealthy Florida, Inc.","FL","Health Plan",835,2015-10-19,"Unauthorized Access/Disclosure","Paper/Films"
" Woodhull Medical and Mental Health Center ","NY","Healthcare Provider",1581,2015-10-19,"Theft","Laptop"
"Emergence Health Network","TX","Healthcare Provider",11100,2015-10-16,"Hacking/IT Incident","Network Server"
"Nephropathology Associates, PLC","AR","Healthcare Provider",1260,2015-10-16,"Unauthorized Access/Disclosure","Email"
"Centene Management Corporation","MO","Health Plan",8208,2015-10-15,"Theft","Other Portable Electronic Device"
"University of Oklahoma Department of Urology","OK","Healthcare Provider",9300,2015-10-10,"Theft","Laptop"
"SSM Health Cancer Care","MO","Healthcare Provider",643,2015-10-09,"Unauthorized Access/Disclosure","Paper/Films"
"The Johns Hopkins Hospital","MD","Healthcare Provider",571,2015-10-09,"Theft","Laptop"
"Aspire Home Care and Hospice","OK","Healthcare Provider",4278,2015-10-09,"Hacking/IT Incident","Email"
"Anne Arundel Health System","MD","Healthcare Provider",2208,2015-10-08,"Unauthorized Access/Disclosure","Paper/Films"
"CarePlus Health Plans [case 18772]","KY","Health Plan",2873,2015-10-06,"Unauthorized Access/Disclosure","Paper/Films"
"Sentara Healthcare ","VA","Healthcare Provider",1040,2015-10-02,"Theft","Other Portable Electronic Device"
"Baptist Health and Arkansas Health Group","AR","Healthcare Provider",6500,2015-10-01,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Humana Inc [Case 18652]","KY","Health Plan",2815,2015-09-30,"Theft","Laptop, Paper/Films"
"Kindred Nursing Centers West, L.L.C.","CA","Healthcare Provider",1125,2015-09-25,"Theft","Desktop Computer"
"Silverberg Surgical and Medical Group","CA","Healthcare Provider",857,2015-09-25,"Unauthorized Access/Disclosure","Network Server"
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates","NJ","Health Plan",1173,2015-09-24,"Unauthorized Access/Disclosure","Electronic Medical Record, Other"
"Barrington Orthopedic Specialists, Ltd","IL","Healthcare Provider",1009,2015-09-24,"Theft","Laptop, Other"
"Skin and Cancer Center of Arizona","AZ","Healthcare Provider",3311,2015-09-21,"Unauthorized Access/Disclosure","Paper/Films"
"Heartland Health Clinic","VA","Healthcare Provider",3650,2015-09-21,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server"
"Molina Healthcare","CA","Health Plan",54203,2015-09-18,"Theft","Desktop Computer"
"Health Care Service Corporation","IL","Health Plan",501,2015-09-17,"Theft","Paper/Films"
"Daniel A. Sheldon, M.D., P.A.","FL","Healthcare Provider",2075,2015-09-16,"Hacking/IT Incident","Network Server"
"Louisiana State University Health Sciences Center-New Orleans","LA","Healthcare Provider",14500,2015-09-15,"Theft","Laptop"
"Affinity Health Plan, Inc.","NY","Health Plan",721,2015-09-14,"Unauthorized Access/Disclosure","Paper/Films"
"Sutter Medical Foundation","CA","Healthcare Provider",2302,2015-09-11,"Unauthorized Access/Disclosure","Email"
"Blue Cross Blue Shield of North Carolina","NC","Health Plan",1530,2015-09-11,"Unauthorized Access/Disclosure","Paper/Films"
"Blue Cross Blue Shield of North Carolina","NC","Health Plan",807,2015-09-11,"Unauthorized Access/Disclosure","Paper/Films"
"Excellus Health Plan, Inc.","NY","Health Plan",9358891,2015-09-09,"Hacking/IT Incident","Network Server"
"Oakland Family Services","MI","Healthcare Provider",16107,2015-09-09,"Hacking/IT Incident","Email"
"Lee Memorial Health System","FL","Healthcare Provider",1508,2015-09-07,"Unauthorized Access/Disclosure","Paper/Films"
"University of California, Los Angeles Health","CA","Healthcare Provider",1242,2015-09-01,"Theft","Laptop"
"Minneapolis Clinic of Neurology, Ltd.","MN","Healthcare Provider",1450,2015-08-31,"Theft","Laptop"
"Metropolitan Atlanta Rapid Transit Authority","GA","Health Plan",800,2015-08-27,"Unauthorized Access/Disclosure","Paper/Films"
"Merit Health Northwest Mississippi","MS","Healthcare Provider",846,2015-08-26,"Theft","Electronic Medical Record"
"ROBERT SOPER, M.D.","CA","Healthcare Provider",2000,2015-08-26,"Theft","Desktop Computer"
"Children's Hospital Medical Center of Akron","OH","Healthcare Provider",7664,2015-08-26,"Loss","Other Portable Electronic Device"
"Lancaster Cardiology Medical Group, and Sunder Heart Institute and Vascular Medical Clinic","CA","Healthcare Provider",1200,2015-08-24,"Theft","Desktop Computer, Laptop, Network Server, Other Portable Electronic Device"
"Pediatric Gastroenterology, Hepatology & Nutrition of Florida, P.A.","FL","Healthcare Provider",13000,2015-08-24,"Theft","Paper/Films"
"PT Northwest, LLC","OR","Healthcare Provider",1500,2015-08-21,"Unauthorized Access/Disclosure","Email"
"Pediatric Group LLC","IL","Healthcare Provider",10000,2015-08-21,"Hacking/IT Incident","Network Server"
"Empi Inc and DJO, LLC","MN","Healthcare Provider",160000,2015-08-20,"Theft","Laptop"
"Colorado Department of Health Care Policy and Financing","CO","Health Plan",1622,2015-08-18,"Unauthorized Access/Disclosure","Paper/Films"
"Cancer Care Northwest","WA","Healthcare Provider",1426,2015-08-17,"Loss","Paper/Films"
"Endocrinology Associates, Inc.","OH","Healthcare Provider",1400,2015-08-14,"Unauthorized Access/Disclosure","Other"
"Walgreen Co.","IL","Healthcare Provider",8345,2015-08-07,"Unauthorized Access/Disclosure","Paper/Films"
"Baylor College of Medicine","TX","Healthcare Provider",1004,2015-08-07,"Theft","Other Portable Electronic Device, Paper/Films"
"Max M Bayard MD, PC","VT","Healthcare Provider",2000,2015-08-07,"Theft","Laptop, Other Portable Electronic Device"
"T.J. Samson Community Hospital","KY","Healthcare Provider",2060,2015-08-07,"Unauthorized Access/Disclosure","Email"
"Lawrence General Hospital","MA","Healthcare Provider",2071,2015-08-05,"Loss","Other Portable Electronic Device"
"VA Black Hills Health Care System","SD","Healthcare Provider",1168,2015-08-04,"Unauthorized Access/Disclosure","Paper/Films"
"Orlantino Dyoco, M.D.","CA","Healthcare Provider",9000,2015-08-03,"Theft","Desktop Computer, Laptop"
"North East Medical Services (NEMS)","CA","Healthcare Provider",69246,2015-07-31,"Theft","Laptop"
"Siouxland Anesthesiology, Ltd.","SD","Healthcare Provider",13000,2015-07-31,"Hacking/IT Incident","Network Server"
"Sioux Falls VA Health Care System","SD","Healthcare Provider",1111,2015-07-30,"Loss","Paper/Films"
"Prima CARE, PC","MA","Healthcare Provider",1651,2015-07-29,"Unauthorized Access/Disclosure","Paper/Films"
"The McLean Hospital Corporation","MA","Healthcare Provider",12673,2015-07-28,"Loss","Other Portable Electronic Device"
"OhioHealth","OH","Healthcare Provider",1006,2015-07-24,"Loss","Other Portable Electronic Device"
"Advanced Radiology Consultants, LLC","CT","Healthcare Provider",855,2015-07-24,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Healthfirst Affiliates that include Healthfirst PHSP, Inc., Managed Health, Inc., HF Management Services, LLC, and Senior Health Partners ","NY","Health Plan",5338,2015-07-24,"Hacking/IT Incident","Electronic Medical Record"
"Urology Associates, Professional Corporation","MT","Healthcare Provider",6500,2015-07-24,"Unauthorized Access/Disclosure","Paper/Films"
"Montefiore Medical Center ","NY","Healthcare Provider",12517,2015-07-22,"Theft","Electronic Medical Record"
"Special Agents Mutual Benefit Association","MD","Health Plan",1475,2015-07-20,"Hacking/IT Incident","Network Server"
"University of California, Los Angeles Health","CA","Healthcare Provider",4500000,2015-07-17,"Hacking/IT Incident","Network Server"
"Arkansas Blue Cross and Blue Shield","AR","Health Plan",560,2015-07-14,"Theft","Desktop Computer"
"Maricopa Special  Health Care District - Maricopa Integrated Health System","AZ","Healthcare Provider",633,2015-07-14,"Loss","Other Portable Electronic Device"
"Mayo Clinic Health System- Red Wing","MN","Healthcare Provider",601,2015-07-13,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Amsterdam Nursing Home Corporation (1992)","NY","Healthcare Provider",621,2015-07-10,"Loss","Paper/Films"
"Howard University","DC","Healthcare Provider",1445,2015-07-10,"Unauthorized Access/Disclosure","Paper/Films"
"Integral Health Plan, Inc.","FL","Health Plan",7549,2015-07-10,"Unauthorized Access/Disclosure","Paper/Films"
"Massachusetts General Hospital","MA","Healthcare Provider",648,2015-07-08,"Unauthorized Access/Disclosure","Email"
"Georgia Department of Human Services","GA","Health Plan",2983,2015-07-08,"Unauthorized Access/Disclosure","Email"
"FireKeepers Casino Hotel","MI","Health Plan",7666,2015-07-03,"Hacking/IT Incident","Network Server"
"University of Oklahoma, Department of Obstetrics and Gynecology","OK","Healthcare Provider",7693,2015-07-03,"Theft","Laptop"
"Orlando Health","FL","Healthcare Provider",3421,2015-07-02,"Unauthorized Access/Disclosure","Electronic Medical Record"
"UPMC Health Plan","PA","Health Plan",722,2015-07-02,"Unauthorized Access/Disclosure","Email"
"Meritus Medical Center, Inc.","MD","Healthcare Provider",1029,2015-06-26,"Unauthorized Access/Disclosure","Electronic Medical Record"
"CVS Health","RI","Healthcare Provider",12914,2015-06-26,"Theft","Desktop Computer"
"Episcopal Health Services Inc. d/b/a St. John's Episcopal Hospital","NY","Healthcare Provider",509,2015-06-25,"Theft","Electronic Medical Record"
"Central Brooklyn Medical Group, PC","NY","Healthcare Provider",4223,2015-06-19,"Unauthorized Access/Disclosure","Other"
"University of California Irvine Medical Center","CA","Healthcare Provider",4859,2015-06-17,"Unauthorized Access/Disclosure","Electronic Medical Record"
"St. Martin Parish School Based Health Centers","LA","Healthcare Provider",3000,2015-06-15,"Theft","Desktop Computer, Electronic Medical Record, Laptop"
"National Seating & Mobility, Inc.","TN","Healthcare Provider",9627,2015-06-12,"Theft","Email, Laptop, Paper/Films"
"The Department of Aging and Disability Services","TX","Health Plan",6600,2015-06-11,"Unauthorized Access/Disclosure","Network Server"
"Implants, Dentures & Dental","NV","Healthcare Provider",12000,2015-06-10,"Theft","Electronic Medical Record, Laptop, Network Server, Other, Other Portable Electronic Device"
"United Seating and Mobility, LLC d/b/a Numotion","CT","Healthcare Provider",2722,2015-06-10,"Theft","Laptop"
"California Physicians' Service d/b/a Blue Shield of California","CA","Health Plan",843,2015-06-09,"Unauthorized Access/Disclosure","Network Server"
"Keystone Pharmacy, Inc.","MD","Healthcare Provider",500,2015-06-09,"Unauthorized Access/Disclosure","Other, Paper/Films"
"Truman Medical Center, Incorporated","MO","Healthcare Provider",503,2015-06-09,"Unauthorized Access/Disclosure","Other"
"Fred Finch Youth Center","CA","Healthcare Provider",6871,2015-06-05,"Theft","Network Server, Other"
"Stanislaus Surgical Hospital","CA","Healthcare Provider",1170,2015-06-04,"Theft","Desktop Computer, Other Portable Electronic Device, Paper/Films"
"Lancaster County EMS","SC","Healthcare Provider",50000,2015-06-04,"Improper Disposal","Other Portable Electronic Device"
"Rite Aid Corporation","PA","Healthcare Provider",2345,2015-06-03,"Theft","Other, Paper/Films"
"Oregon's Health CO-OP","OR","Health Plan",14000,2015-06-01,"Theft","Laptop"
"Metropolitan Hospital Center","NY","Healthcare Provider",3957,2015-06-01,"Unauthorized Access/Disclosure","Email"
"BUFFALO HEART GROUP","NY","Healthcare Provider",567,2015-05-28,"Unauthorized Access/Disclosure","Electronic Medical Record"
"University of Rochester Medical Center and Affiliates","NY","Healthcare Provider",3403,2015-05-22,"Unauthorized Access/Disclosure","Paper/Films"
"Beacon Health System","IN","Healthcare Provider",306789,2015-05-22,"Hacking/IT Incident","Email"
"Thomas H. Boyd Memorial Hospital","IL","Healthcare Provider",8300,2015-05-21,"Unauthorized Access/Disclosure","Paper/Films"
"CareFirst Blue Cross Blue Shield","MD","Health Plan",1300000,2015-05-20,"Hacking/IT Incident","Network Server"
"Success 4 Kids & Families, Inc.","FL","Healthcare Provider",506,2015-05-20,"Theft","Laptop"
"Alexian Brothers Medical Center","IL","Healthcare Provider",632,2015-05-19,"Unauthorized Access/Disclosure","Desktop Computer"
"Associated Dentists-Roseville Office","MN","Healthcare Provider",4725,2015-05-18,"Theft","Laptop"
"Aflac","GA","Health Plan",6166,2015-05-15,"Unauthorized Access/Disclosure","Paper/Films"
"The MetroHealth System","OH","Healthcare Provider",981,2015-05-15,"Hacking/IT Incident","Desktop Computer"
"Duke LifePoint Conemaugh Memorial Medical Center","PA","Healthcare Provider",1551,2015-05-15,"Theft","Desktop Computer"
"UPMC","PA","Healthcare Provider",2259,2015-05-15,"Theft","Other"
"Unity Recovery Group, Inc.,Starting Point Detox LLC, Lakeside Treatment Center LLC, Changing Tides Transitional Living LLC, Unity Recovery Center, Inc","FL","Healthcare Provider",1000,2015-05-11,"Unauthorized Access/Disclosure","Email, Network Server, Other Portable Electronic Device"
"Ventura County Health Care Agency","CA","Healthcare Provider",1339,2015-05-06,"Loss","Paper/Films"
"Walgreen Co.","IL","Healthcare Provider",1138,2015-05-01,"Loss","Paper/Films"
"Partners HealthCare System, Inc.","MA","Healthcare Provider",3321,2015-05-01,"Hacking/IT Incident","Network Server"
"County of Los Angeles ","CA","Healthcare Provider",880,2015-04-29,"Theft","Paper/Films"
"Jacobi Medical Center","NY","Healthcare Provider",90060,2015-04-28,"Unauthorized Access/Disclosure","Email"
"Bellevue Hospital Center","NY","Healthcare Provider",3334,2015-04-28,"Unauthorized Access/Disclosure","Email"
"Consolidated Tribal Health Project, Inc. ","CA","Healthcare Provider",4885,2015-04-28,"Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device"
"University of Illinois at Chicago","IL","Healthcare Provider",3000,2015-04-28,"Theft","Laptop"
"Clinical Reference Laboratory, Inc.","KS","Healthcare Provider",864,2015-04-28,"Loss","Paper/Films"
"CEMEX, Inc.","TX","Health Plan",880,2015-04-27,"Hacking/IT Incident","Network Server"
"Community Mercy Health Partners","OH","Healthcare Provider",2000,2015-04-27,"Unauthorized Access/Disclosure","Paper/Films"
"Wellmont Health System","TN","Healthcare Provider",1726,2015-04-24,"Improper Disposal","Other, Paper/Films"
"Seton Family of Hospitals","TX","Healthcare Provider",39000,2015-04-24,"Hacking/IT Incident","Email"
"Saint Agnes Health Care, Inc.","MD","Healthcare Provider",24967,2015-04-24,"Hacking/IT Incident","Email"
"CompuNet Clinical Laboratories","OH","Healthcare Provider",2584,2015-04-23,"Loss","Paper/Films"
"Jersey City Medical Center","NJ","Healthcare Provider",1447,2015-04-17,"Unauthorized Access/Disclosure","Email"
"American Sleep Medicine","CA","Healthcare Provider",1787,2015-04-16,"Theft","Other"
"Concordia Plan Services on behalf of the Concordia Health Plan","MO","Health Plan",12500,2015-04-16,"Hacking/IT Incident","Network Server"
"Suburban Lung Associates","IL","Healthcare Provider",2984,2015-04-13,"Unauthorized Access/Disclosure","Paper/Films"
"New York State Office of Mental Health","NY","Healthcare Provider",563,2015-04-10,"Loss","Laptop"
"St.Vincent Medical Group, Inc.","IN","Healthcare Provider",756,2015-04-10,"Hacking/IT Incident","Email"
"Denton County Health Department","TX","Healthcare Provider",874,2015-04-09,"Unauthorized Access/Disclosure","Other Portable Electronic Device"
"International Union of Operating Engineers Local Unions 181, 320 & TVA Health and Welfare Trust Fund","KY","Health Plan",5440,2015-04-09,"Hacking/IT Incident","Network Server"
"ADT LLC Group Health & Welfare Plan","FL","Health Plan",3074,2015-04-07,"Hacking/IT Incident","Network Server"
"Allina Health","MN","Healthcare Provider",838,2015-04-06,"Unauthorized Access/Disclosure","Paper/Films"
"Elizabeth Kerner, M.D.","TX","Healthcare Provider",873,2015-04-03,"Unauthorized Access/Disclosure","Email"
"SUPERVALU Group Health Plan","MN","Health Plan",10946,2015-04-03,"Hacking/IT Incident","Network Server"
"Health Plan sponsored by Covenant Ministries of Benevolance","IL","Health Plan",782,2015-04-03,"Hacking/IT Incident","Network Server"
"Children's Heart Center","NV","Healthcare Provider",8791,2015-04-03,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Tulare County Health & Human Services Agency","CA","Healthcare Provider",845,2015-04-02,"Unauthorized Access/Disclosure","Email"
"Western Montana Clinic","MT","Healthcare Provider",7038,2015-04-02,"Hacking/IT Incident","Network Server"
"City of Philadelphia Fire Department Emergency Medical Services Unit","PA","Healthcare Provider",81463,2015-04-02,"Unauthorized Access/Disclosure","Desktop Computer, Paper/Films"
"CDC/NIOSH World Trade Center Health Program (WTCHP)","GA","Health Plan",958,2015-04-02,"Unauthorized Access/Disclosure","Paper/Films"
"PIH Health Hospital - Whittier","CA","Healthcare Provider",826,2015-04-02,"Theft","Paper/Films"
"Schaeffler Group USA","SC","Health Plan",550,2015-04-02,"Hacking/IT Incident","Network Server"
"Cigna-HealthSpring","TN","Health Plan",862,2015-04-02,"Unauthorized Access/Disclosure","Paper/Films"
"VA Eastern Colorado Health Care System(ECHCS)","CO","Healthcare Provider",508,2015-04-02,"Unauthorized Access/Disclosure","Paper/Films"
"Triple S Advantage, Inc","PR","Health Plan",1458,2015-03-31,"Unauthorized Access/Disclosure","Other"
"Project Vida Health Center","TX","Healthcare Provider",7700,2015-03-27,"Theft","Network Server"
"New","FL","Health Plan",500,2015-03-27,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server"
"7-Eleven, Inc. Comprehensive Welfare Benefits Plan No. 525","TX","Health Plan",1688,2015-03-25,"Hacking/IT Incident","Network Server"
"McDermott Will & Emery LLP is the plan sponsor for the McDermott medical plan","IL","Health Plan",880,2015-03-24,"Hacking/IT Incident","Network Server"
"Pediatric Associates","FL","Healthcare Provider",627,2015-03-24,"Loss","Paper/Films"
"Freelancers Insurance Company","NY","Health Plan",43068,2015-03-24,"Hacking/IT Incident","Network Server"
"AT&T Group Health Plan","TX","Health Plan",50000,2015-03-23,"Hacking/IT Incident","Network Server"
"Life Care Center of Attleboro","MA","Healthcare Provider",2473,2015-03-20,"Loss","Paper/Films"
"Mount Sinai Medical Center","FL","Healthcare Provider",1406,2015-03-20,"Unauthorized Access/Disclosure","Paper/Films"
"Florida Hospital","FL","Healthcare Provider",8700,2015-03-20,"Unauthorized Access/Disclosure","Other"
"Community Health Network","IN","Healthcare Provider",650,2015-03-20,"Loss","Paper/Films"
"Kane Hall Barry Neurology","TX","Healthcare Provider",600,2015-03-19,"Theft","Laptop"
"Career Education Corporation","IL","Health Plan",2743,2015-03-19,"Hacking/IT Incident","Network Server"
"Advantage Consolidated LLC","OR","Healthcare Provider",151626,2015-03-18,"Hacking/IT Incident","Other"
"Blue Cross Blue Shield of Michigan ","MI","Health Plan",3903,2015-03-17,"Theft","Paper/Films"
"Premera Blue Cross","WA","Health Plan",11000000,2015-03-17,"Hacking/IT Incident","Network Server"
"Sacred Heart Health System, Inc.","FL","Healthcare Provider",14177,2015-03-16,"Hacking/IT Incident","Email"
"EyeCare of Bartlesville","OK","Healthcare Provider",4000,2015-03-13,"Hacking/IT Incident","Desktop Computer, Network Server"
"Virginia Department of Medical Assistance Services (VA-DMAS)","VA","Health Plan",697586,2015-03-12,"Hacking/IT Incident","Network Server"
"Dr. Anthony T. R. Green DDS","NY","Healthcare Provider",7448,2015-03-11,"Unauthorized Access/Disclosure","Other, Paper/Films"
"San Franciso General Hospital and Trauma Center","CA","Healthcare Provider",2500,2015-03-06,"Theft","Other"
"Indiana State Medical Association","IN","Health Plan",38351,2015-03-06,"Theft","Other Portable Electronic Device"
"Valley COmmunity Healthcare","CA","Healthcare Provider",1233,2015-03-06,"Loss","Laptop"
"Sharon J. Jones M.D.","CA","Healthcare Provider",1342,2015-03-05,"Theft","Paper/Films"
"Mosaic Medical","OR","Healthcare Provider",2207,2015-03-05,"Unauthorized Access/Disclosure","Paper/Films"
"St. Mary's Health","IN","Healthcare Provider",3952,2015-03-05,"Hacking/IT Incident","Email"
"Clinical Reference Laboratory, Inc.","KS","Healthcare Provider",4668,2015-03-03,"Loss","Paper/Films"
"Georgia Department of Community Health ","GA","Health Plan",355127,2015-03-02,"Hacking/IT Incident","Network Server"
"Georgia Department of Community Health ","GA","Health Plan",557779,2015-03-02,"Hacking/IT Incident","Network Server"
"Advance Rehabilitation & Consulting LTD","GA","Healthcare Provider",570,2015-03-02,"Hacking/IT Incident","Network Server"
"Amedisys","LA","Healthcare Provider",6909,2015-03-01,"Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Laptop"
"Aventura Hospital and Medical Center","FL","Healthcare Provider",686,2015-02-27,"Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record"
"Cathrine Steinborn, DDS","CA","Healthcare Provider",3224,2015-02-27,"Theft","Network Server"
"St.Vincent Hospital and Health Care Center, Inc.","IN","Healthcare Provider",63325,2015-02-27,"Unauthorized Access/Disclosure","Paper/Films"
"Raymond Mark Turner, M.D.","NV","Healthcare Provider",2153,2015-02-26,"Theft","Laptop"
"Children's National Medical Center","DC","Healthcare Provider",18000,2015-02-24,"Hacking/IT Incident","Email"
"Marketing Clique","TX","Health Plan",8700,2015-02-20,"Unauthorized Access/Disclosure","Other"
"Hunt Regional Medical Partners","TX","Healthcare Provider",3000,2015-02-18,"Unauthorized Access/Disclosure","Other"
"Anthem Inc.","IN","Health Plan",78800000,2015-02-13,"Hacking/IT Incident","Network Server"
"Pathway to Hope","FL","Healthcare Provider",600,2015-02-12,"Unauthorized Access/Disclosure","Email"
"Haywood County NC","NC","Healthcare Provider",955,2015-02-09,"Loss","Paper/Films"
"Senior Health Partners, a Healthfirst company","NY","Health Plan",2772,2015-02-06,"Theft","Laptop, Other Portable Electronic Device"
"Planned Parenthood Southwest Ohio","OH","Healthcare Provider",5000,2015-02-05,"Improper Disposal","Paper/Films"
"South Sunflower County Hospital","MS","Healthcare Provider",19000,2015-02-04,"Improper Disposal","Paper/Films"
"Boston Baskin Cancer Foundation","TN","Healthcare Provider",56694,2015-02-02,"Theft","Other Portable Electronic Device"
"UMass Memorial Medical Group, Inc.","MA","Healthcare Provider",14100,2015-01-30,"Unauthorized Access/Disclosure","Paper/Films"
"North Dallas Urogynecology, PLLC.","TX","Healthcare Provider",678,2015-01-29,"Theft","Laptop"
"Riverside County Regional Medical Center","CA","Healthcare Provider",7925,2015-01-29,"Theft","Laptop"
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.","MD","Health Plan",630,2015-01-29,"Unauthorized Access/Disclosure","Paper/Films"
"David E. Hansen DDS PS ","WA","Healthcare Provider",2000,2015-01-29,"Theft","Other Portable Electronic Device, Paper/Films"
"Diana S. Guth DBA Home Respiratory Care","CA","Healthcare Provider",1285,2015-01-28,"Unauthorized Access/Disclosure","Email"
"California Pacific Medical Center ","CA","Healthcare Provider",845,2015-01-23,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Ronald D. Garrett-Roe, MD","TX","Healthcare Provider",1600,2015-01-23,"Hacking/IT Incident","Desktop Computer"
"St. Peter's Health Partners","NY","Healthcare Provider",5117,2015-01-23,"Theft","Other Portable Electronic Device"
"Rainier Surgical, Incorporated","TX","Healthcare Provider",4920,2015-01-16,"Theft","Paper/Films"
"National Pain Institute","FL","Healthcare Provider",500,2015-01-15,"Improper Disposal","Desktop Computer, Laptop"
"University Hospitals","OH","Healthcare Provider",848,2015-01-15,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Tennessee Rural Health Improvement Association","TN","Health Plan",79000,2015-01-13,"Unauthorized Access/Disclosure","Other"
"Children's Eyewear Sight","CA","Healthcare Provider",1030,2015-01-12,"Theft","Desktop Computer"
"Henry Ford Health System","MI","Healthcare Provider",2336,2015-01-09,"Loss","Other, Other Portable Electronic Device"
"Aspire Indiana, Inc.","IN","Healthcare Provider",43890,2015-01-07,"Theft","Laptop"
"Saint Louis County Department of Health","MO","Healthcare Provider",4000,2015-01-07,"Unauthorized Access/Disclosure","Email, Network Server"
"VA Corporate Data Center Operations/Austin Information Technology Center ","TX","Healthcare Provider",7029,2015-01-07,"Hacking/IT Incident","Network Server"
"mdINR LLC","FL","Healthcare Provider",1859,2015-01-05,"Unauthorized Access/Disclosure","Email"
"Murali Menon, Privacy Manager Breach","CA","Healthcare Provider",2855,2014-12-30,"Theft","Laptop, Other Portable Electronic Device, Paper/Films"
"Independence Blue Cross and AmeriHealth New Jersey ","PA","Health Plan",12450,2014-12-26,"Improper Disposal","Paper/Films"
"Northwestern Memorial HealthCare","IL","Healthcare Provider",2813,2014-12-23,"Theft","Laptop"
"Mercy Medical Center Redding - Oncology Clinic, Privacy Manager Breach","CA","Healthcare Provider",616,2014-12-22,"Hacking/IT Incident","Other"
"The Corvallis Clinic, P.C.","OR","Healthcare Provider",41000,2014-12-19,"Theft","Laptop"
"Pediatric Gastroenterology Consultants","CO","Healthcare Provider",5000,2014-12-19,"Theft","Laptop"
"Walgreen Co.","IL","Healthcare Provider",160000,2014-12-15,"Other","Paper/Films"
"St. Mary Mercy Hospital","MI","Healthcare Provider",1488,2014-12-12,"Unauthorized Access/Disclosure","Email"
"Clay County Hospital","IL","Healthcare Provider",12621,2014-12-12,"Unauthorized Access/Disclosure","Other"
"District Medical Group, Privacy Manager Breach","AZ","Healthcare Provider",616,2014-12-12,"Unauthorized Access/Disclosure","Other Portable Electronic Device"
"Sony Pictures Entertainment Health and Welfare Benefits Plan (the Plan)","CA","Health Plan",30000,2014-12-12,"Hacking/IT Incident","Desktop Computer, Laptop, Network Server"
"Highlands Cashier Hospital","NC","Healthcare Provider",26115,2014-12-11,"Unauthorized Access/Disclosure","Network Server"
"ReachOut Home Care [Case #16687]","KY","Healthcare Provider",4500,2014-12-09,"Theft","Laptop"
"Florida Department of Health","FL","Healthcare Provider",2477,2014-12-08,"Other","Email"
"The Hearing Zone","UT","Healthcare Provider",623,2014-12-05,"Theft","Laptop"
"North Big Horn Hospital","WY","Healthcare Provider",1607,2014-12-01,"Loss","Paper/Films"
"Northfield Hospital & Clinics","MN","Healthcare Provider",1778,2014-11-25,"Improper Disposal","Paper/Films"
"True Vision Eyecare","OH","Healthcare Provider",542,2014-11-21,"Theft","Laptop"
"Visionworks Inc.","TX","Health Plan",47683,2014-11-21,"Theft","Network Server"
"Baptist Primary Care, Inc.","FL","Healthcare Provider",1449,2014-11-20,"Unauthorized Access/Disclosure","Electronic Medical Record"
"MetroPlus Health Plan, Inc.","NY","Health Plan",31980,2014-11-20,"Other","Email"
"Kirkbride Center","PA","Healthcare Provider",860,2014-11-19,"Theft","Paper/Films"
"Brigham and Women's Hospital","MA","Healthcare Provider",999,2014-11-17,"Theft","Laptop, Other Portable Electronic Device"
"REEVE-WOODS EYE CENTER","CA","Healthcare Provider",30000,2014-11-15,"Theft","Network Server"
"Colorado River Indian Tribes","AZ","Healthcare Provider",1296,2014-11-14,"Other","Email"
"Loi Luu","CA","Healthcare Provider",13177,2014-11-14,"Theft","Network Server"
"Indian Health Service, Aberdeen Area Office","SD","Health Plan",1632,2014-11-13,"Unauthorized Access/Disclosure","Email"
"Visionworks Inc.","TX","Health Plan",74944,2014-11-10,"Loss","Network Server"
"Weill Cornell Medical College","NY","Healthcare Provider",3936,2014-11-07,"Theft","Electronic Medical Record, Laptop"
"Central Dermatology Center, P.A.","NC","Healthcare Provider",76258,2014-11-07,"Theft","Network Server"
